PLAYER_ID,PLAYER_NAME,CURRENT_TEAM,PLAYER_AGE,PLAYER_NUM,PLAYER_POS,ROOKIE_SW,ASSISTS_NUM,GOALS_NUM,GAMES_NUM,HITS_NUM,POINTS_NUM
8476792,Torey Krug,St. Louis Blues,30,47,Defenseman,false,40,4,81,61,44
8476793,Jesse Todd,,,,Right Wing,false,,,,,
8476794,Tyler Gron,,,,Right Wing,false,,,,,
